nK,t,a,x,phi,y
64,2.5500000000000003,0.0,0.0,0.0,0.0
64,2.6,0.0,0.0,0.0,0.0
64,2.6500000000000004,0.0,0.0,0.0,0.0
64,2.7,0.0,0.0,0.0,0.0
64,2.75,0.0,0.0,0.0,0.0
64,2.8000000000000003,0.0,0.0,0.0,0.0
64,2.85,0.0,0.0,0.0,0.0
64,2.9000000000000004,0.0,0.0,0.0,0.0
64,2.95,0.0,0.0,0.0,0.0
64,3.0,0.0,0.0,0.0,0.0
64,3.0500000000000003,0.0,0.0,0.0,0.0
64,3.1,0.0,0.0,0.0,0.0
64,3.1500000000000004,0.0,0.0,0.0,0.0
64,3.2,0.0,0.0,0.0,0.0
64,3.25,0.0,0.0,0.0,0.0
64,3.3000000000000003,0.0,0.0,0.0,0.0
64,3.35,0.0,0.0,0.0,0.0
64,3.4000000000000004,0.0,0.0,0.0,0.0
64,3.45,0.0,0.0,0.0,0.0
64,3.5,0.0,0.0,0.0,0.0
64,3.5500000000000003,0.0,0.0,0.0,0.0
64,3.6,0.0,0.0,0.0,0.0
64,3.6500000000000004,0.0,0.0,0.0,0.0
64,3.7,0.0,0.0,0.0,0.0
64,3.75,0.0,0.0,0.0,0.0
64,3.8000000000000003,0.0,0.0,0.0,0.0
64,3.85,0.0,0.0,0.0,0.0
64,3.9000000000000004,0.0,0.0,0.0,0.0
64,3.95,0.0,0.0,0.0,0.0
64,4.0,0.0,0.0,0.0,0.0
64,4.05,0.0,0.0,0.0,0.0
64,4.1000000000000005,0.0,0.0,0.0,0.0
64,4.15,0.0,0.0,0.0,0.0
64,4.2,0.0,0.0,0.0,0.0
64,4.25,0.0,0.0,0.0,0.0
64,4.3,0.0,0.0,0.0,0.0
64,4.3500000000000005,0.0,0.0,0.0,0.0
64,4.4,0.0,0.0,0.0,0.0
64,4.45,0.0,0.0,0.0,0.0
64,4.5,0.0,0.0,0.0,0.0
64,4.55,0.0,2.328692794151266e-10,0.0,0.0
64,4.6000000000000005,-1.343219979688115e-07,1.814983413561677e-05,-2.7755575615628914e-13,3.3306690738754696e-11
64,4.65,-1.5150254384366235e-05,0.0010114435244901188,5.689893001203927e-11,4.625189120588402e-09
64,4.7,-0.0002058738685084549,0.008441842054285331,1.439959262938828e-09,7.466471885209103e-08
64,4.75,-0.0011264929183907313,0.03183769972658901,1.2824741268957496e-08,4.756162130803432e-07
64,4.800000000000001,-0.0037930113611084337,0.07925850172618709,6.494832449632781e-08,1.8506118859562548e-06
64,4.8500000000000005,-0.00950816917311137,0.15384958849173902,2.3304219665121195e-07,5.355278998031565e-06
64,4.9,-0.019598401646003794,0.25352872780576297,6.648692707500459e-07,1.274369998416347e-05
64,4.95,-0.035177450363743645,0.3721038815945876,1.6108583911211838e-06,2.63525640198381e-05
64,5.0,-0.056976773180617,0.5007157071598711,3.449098229246772e-06,4.889882776470955e-05
64,5.050000000000001,-0.08524726032632657,0.6292222827322669,6.694511611726739e-06,8.304966936378833e-05
64,5.1000000000000005,-0.11972769068890887,0.747493252918896,1.1981792780169087e-05,0.00013082137428899188
64,5.15,-0.1596773922019068,0.8467015851826298,2.0017213997469696e-05,0.00019297041409238602
64,5.2,-0.20397540821726068,0.920701414330316,3.150460559098178e-05,0.0002686109568106332
64,5.25,-0.2512905319895786,0.9674601345865952,4.706279865818175e-05,0.00035528785247151973
64,5.300000000000001,-0.300317570166575,0.9901642263610011,6.71607985891498e-05,0.0004496131533748837
64,5.3500000000000005,-0.3500396959021934,0.9968961213691063,9.209631446349675e-05,0.0005483083134749656
64,5.4,-0.3999025318179861,0.9971872279024296,0.00012202617249990055,0.0006491169080025117
64,5.45,-0.4497448871465526,0.9964913767795958,0.00015702375344428532,0.0007508825228264016
64,5.5,-0.49955115641542314,0.9957546153804842,0.00019711839382985374,0.000852886120616958
64,5.550000000000001,-0.5493197827866059,0.9949840322931447,0.00024230496775690114,0.0009544456475163443
64,5.6000000000000005,-0.5990488767071422,0.994172747411648,0.00029254409172896345,0.0010548731207982165
64,5.65,-0.6487363916851674,0.993321842426842,0.00034776191093488507,0.001153478573212574
64,5.7,-0.6983805739979587,0.9924420275003731,0.0004078501281146174,0.0012495750725816102
64,5.75,-0.7479804370846832,0.9915529877929652,0.00047266628278030964,0.0013424838993941757
64,5.800000000000001,-0.7975361512979617,0.9906807406789842,0.0005420342857886951,0.001431539382069913
64,5.8500000000000005,-0.8470492656176276,0.9898536940705638,0.0006157451781785284,0.0015160929903515474
64,5.9,-0.8965227180912638,0.9890982914712021,0.0006935580704192645,0.0015955164649888998
64,5.95,-0.9459606372796969,0.9884351512856604,0.0007752012121109431,0.0016692039604693232
64,6.0,-0.9953679791485648,0.9878764469734014,0.0008603731521672486,0.0017365733934182614
128,0.0,0.0,0.0,0.0,0.0
128,0.05,0.0,0.0,0.0,0.0
128,0.1,0.0,0.0,0.0,0.0
128,0.15000000000000002,0.0,0.0,0.0,0.0
128,0.2,0.0,0.0,0.0,0.0
128,0.25,0.0,0.0,0.0,0.0
128,0.30000000000000004,0.0,0.0,0.0,0.0
128,0.35000000000000003,0.0,0.0,0.0,0.0
128,0.4,0.0,0.0,0.0,0.0
128,0.45,0.0,0.0,0.0,0.0
128,0.5,0.0,0.0,0.0,0.0
128,0.55,0.0,0.0,0.0,0.0
128,0.6000000000000001,0.0,0.0,0.0,0.0
128,0.65,0.0,0.0,0.0,0.0
128,0.7000000000000001,0.0,0.0,0.0,0.0
128,0.75,0.0,0.0,0.0,0.0
128,0.8,0.0,0.0,0.0,0.0
128,0.8500000000000001,0.0,0.0,0.0,0.0
128,0.9,0.0,0.0,0.0,0.0
128,0.9500000000000001,0.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0,0.0
128,1.05,0.0,0.0,0.0,0.0
128,1.1,0.0,0.0,0.0,0.0
128,1.1500000000000001,0.0,0.0,0.0,0.0
128,1.2000000000000002,0.0,0.0,0.0,0.0
128,1.25,0.0,0.0,0.0,0.0
128,1.3,0.0,0.0,0.0,0.0
128,1.35,0.0,0.0,0.0,0.0
128,1.4000000000000001,0.0,0.0,0.0,0.0
128,1.4500000000000002,0.0,0.0,0.0,0.0
128,1.5,0.0,0.0,0.0,0.0
128,1.55,0.0,0.0,0.0,0.0
128,1.6,0.0,0.0,0.0,0.0
128,1.6500000000000001,0.0,0.0,0.0,0.0
128,1.7000000000000002,0.0,0.0,0.0,0.0
128,1.75,0.0,0.0,0.0,0.0
128,1.8,0.0,0.0,0.0,0.0
128,1.85,0.0,0.0,0.0,0.0
128,1.9000000000000001,0.0,0.0,0.0,0.0
128,1.9500000000000002,0.0,0.0,0.0,0.0
128,2.0,0.0,0.0,0.0,0.0
128,2.0500000000000003,0.0,0.0,0.0,0.0
128,2.1,0.0,0.0,0.0,0.0
128,2.15,0.0,0.0,0.0,0.0
128,2.2,0.0,0.0,0.0,0.0
128,2.25,0.0,0.0,0.0,0.0
128,2.3000000000000003,0.0,0.0,0.0,0.0
128,2.35,0.0,0.0,0.0,0.0
128,2.4000000000000004,0.0,0.0,0.0,0.0
128,2.45,0.0,0.0,0.0,0.0
128,2.5,0.0,0.0,0.0,0.0
128,2.5500000000000003,0.0,0.0,0.0,0.0
128,2.6,0.0,0.0,0.0,0.0
128,2.6500000000000004,0.0,0.0,0.0,0.0
128,2.7,0.0,0.0,0.0,0.0
128,2.75,0.0,0.0,0.0,0.0
128,2.8000000000000003,0.0,0.0,0.0,0.0
128,2.85,0.0,0.0,0.0,0.0
128,2.9000000000000004,0.0,0.0,0.0,0.0
128,2.95,0.0,0.0,0.0,0.0
128,3.0,0.0,0.0,0.0,0.0
128,3.0500000000000003,0.0,0.0,0.0,0.0
128,3.1,0.0,0.0,0.0,0.0
128,3.1500000000000004,0.0,0.0,0.0,0.0
128,3.2,0.0,0.0,0.0,0.0
128,3.25,0.0,0.0,0.0,0.0
128,3.3000000000000003,0.0,0.0,0.0,0.0
128,3.35,0.0,0.0,0.0,0.0
128,3.4000000000000004,0.0,0.0,0.0,0.0
128,3.45,0.0,0.0,0.0,0.0
128,3.5,0.0,0.0,0.0,0.0
128,3.5500000000000003,0.0,0.0,0.0,0.0
128,3.6,0.0,0.0,0.0,0.0
128,3.6500000000000004,0.0,0.0,0.0,0.0
128,3.7,0.0,0.0,0.0,0.0
128,3.75,0.0,0.0,0.0,0.0
128,3.8000000000000003,0.0,0.0,0.0,0.0
128,3.85,0.0,0.0,0.0,0.0
128,3.9000000000000004,0.0,0.0,0.0,0.0
128,3.95,0.0,0.0,0.0,0.0
128,4.0,0.0,0.0,0.0,0.0
128,4.05,0.0,0.0,0.0,0.0
128,4.1000000000000005,0.0,0.0,0.0,0.0
128,4.15,0.0,0.0,0.0,0.0
128,4.2,0.0,0.0,0.0,0.0
128,4.25,0.0,0.0,0.0,0.0
128,4.3,0.0,0.0,0.0,0.0
128,4.3500000000000005,0.0,0.0,0.0,0.0
128,4.4,0.0,0.0,0.0,0.0
128,4.45,0.0,0.0,0.0,0.0
128,4.5,0.0,-2.7755575615628914e-13,0.0,0.0
128,4.55,-5.551115123125783e-13,2.223221606811876e-10,0.0,0.0
128,4.6000000000000005,-1.3423928635347693e-07,1.8144752644833062e-05,1.3877787807814457e-13,3.3306690738754696e-11
128,4.65,-1.5146437437607574e-05,0.0010111670387114025,5.676015213396113e-11,4.623523786051464e-09
128,4.7,-0.00020581657655949215,0.008439458911158049,1.439959262938828e-09,7.463640816496309e-08
128,4.75,-0.0011261710691767846,0.03182845588090011,1.2820577932615151e-08,4.754446836230386e-07
128,4.800000000000001,-0.003791903778194161,0.07923489841965559,6.492584248007915e-08,1.8499840548358293e-06
128,4.8500000000000005,-0.009505337438819872,0.1538027078121229,2.3296392592797588e-07,5.353551491005248e-06
128,4.9,-0.01959246048510721,0.2534498908104976,6.646547201505371e-07,1.2739722055066238e-05
128,4.95,-0.03516661994829029,0.3719862353490644,1.6103521294219547e-06,2.6344466608207995e-05
128,5.0,-0.05695900616664584,0.5005556150206036,3.448027419139521e-06,4.888385418677643e-05
128,5.050000000000001,-0.085220431560451,0.6290204174549952,6.692446596900936e-06,8.302417975336596e-05
128,5.1000000000000005,-0.11968983015087087,0.7472551892417911,1.197810406416977e-05,0.00013078117699905079
128,5.15,-0.15962692904436526,0.8464376011363406,2.0011061696578736e-05,0.00019291144071065247
128,5.2,-0.20391137976694118,0.920425264450131,3.1494968300016524e-05,0.0002685301614402391
128,5.25,-0.25121270559314013,0.9671868314586884,4.704854617010312e-05,0.0003551840166426956
128,5.300000000000001,-0.3002264389961873,0.989907350547603,6.714079292535757e-05,0.000449487242981661
128,5.3500000000000005,-0.34993634987046107,0.996665726273327,9.206952034102045e-05,0.0005481632342485554
128,5.4,-0.39978846449462146,0.9969895710187915,0.00012199173116123063,0.0006489568474266072
128,5.45,-0.4496218415916964,0.9963304860516331,0.0001569810342827438,0.0007507123453431852
128,5.5,-0.49942105184497265,0.9956336104155472,0.00019706701992472375,0.0008527110434419782
128,5.550000000000001,-0.5491846767358144,0.9949053166874444,0.00024224483030632626,0.0009542710666110565
128,5.6000000000000005,-0.5989109281312466,0.9941379735955991,0.0002924753494948362,0.0010547044268505168
128,5.65,-0.6485978229642253,0.9933318930199775,0.00034768499079795845,0.0011533209873237915
128,5.7,-0.6982436323055285,0.9924970125402277,0.00040776570953138247,0.0012494334950680086
128,5.75,-0.7478473560507126,0.9916522593589328,0.00047257527946431566,0.0013423627702457974
128,5.800000000000001,-0.7974091138129857,0.9908229232763466,0.0005419378190651969,0.0014314425744385573
128,5.8500000000000005,-0.846930368481047,0.9900367275134103,0.0006156445481186879,0.0015160237278738498
128,5.9,-0.8964139390221781,0.9893194817606199,0.0006934547197579022,0.0015954772810550244
128,5.95,-0.9458638045745094,0.9886912244377877,0.0007750966934949588,0.0016691966790716162
128,6.0,-0.9952847439986812,0.9881636008979289,0.000860269091518262,0.0017365991494822097
256,0.0,0.0,0.0,0.0,0.0
256,0.05,0.0,0.0,0.0,0.0
256,0.1,0.0,0.0,0.0,0.0
256,0.15000000000000002,0.0,0.0,0.0,0.0
256,0.2,0.0,0.0,0.0,0.0
256,0.25,0.0,0.0,0.0,0.0
256,0.30000000000000004,0.0,0.0,0.0,0.0
256,0.35000000000000003,0.0,0.0,0.0,0.0
256,0.4,0.0,0.0,0.0,0.0
256,0.45,0.0,0.0,0.0,0.0
256,0.5,0.0,0.0,0.0,0.0
256,0.55,0.0,0.0,0.0,0.0
256,0.6000000000000001,0.0,0.0,0.0,0.0
256,0.65,0.0,0.0,0.0,0.0
256,0.7000000000000001,0.0,0.0,0.0,0.0
256,0.75,0.0,0.0,0.0,0.0
256,0.8,0.0,0.0,0.0,0.0
256,0.8500000000000001,0.0,0.0,0.0,0.0
256,0.9,0.0,0.0,0.0,0.0
256,0.9500000000000001,0.0,0.0,0.0,0.0
256,1.0,0.0,0.0,0.0,0.0
256,1.05,0.0,0.0,0.0,0.0
256,1.1,0.0,0.0,0.0,0.0
256,1.1500000000000001,0.0,0.0,0.0,0.0
256,1.2000000000000002,0.0,0.0,0.0,0.0
256,1.25,0.0,0.0,0.0,0.0
256,1.3,0.0,0.0,0.0,0.0
256,1.35,0.0,0.0,0.0,0.0
256,1.4000000000000001,0.0,0.0,0.0,0.0
256,1.4500000000000002,0.0,0.0,0.0,0.0
256,1.5,0.0,0.0,0.0,0.0
256,1.55,0.0,0.0,0.0,0.0
256,1.6,0.0,0.0,0.0,0.0
256,1.6500000000000001,0.0,0.0,0.0,0.0
256,1.7000000000000002,0.0,0.0,0.0,0.0
256,1.75,0.0,0.0,0.0,0.0
256,1.8,0.0,0.0,0.0,0.0
256,1.85,0.0,0.0,0.0,0.0
256,1.9000000000000001,0.0,0.0,0.0,0.0
256,1.9500000000000002,0.0,0.0,0.0,0.0
256,2.0,0.0,0.0,0.0,0.0
256,2.0500000000000003,0.0,0.0,0.0,0.0
256,2.1,0.0,0.0,0.0,0.0
256,2.15,0.0,0.0,0.0,0.0
256,2.2,0.0,0.0,0.0,0.0
256,2.25,0.0,0.0,0.0,0.0
256,2.3000000000000003,0.0,0.0,0.0,0.0
256,2.35,0.0,0.0,0.0,0.0
256,2.4000000000000004,0.0,0.0,0.0,0.0
256,2.45,0.0,0.0,0.0,0.0
256,2.5,0.0,0.0,0.0,0.0
256,2.5500000000000003,0.0,0.0,0.0,0.0
256,2.6,0.0,0.0,0.0,0.0
256,2.6500000000000004,0.0,0.0,0.0,0.0
256,2.7,0.0,0.0,0.0,0.0
256,2.75,0.0,0.0,0.0,0.0
256,2.8000000000000003,0.0,0.0,0.0,0.0
256,2.85,0.0,0.0,0.0,0.0
256,2.9000000000000004,0.0,0.0,0.0,0.0
256,2.95,0.0,0.0,0.0,0.0
256,3.0,0.0,0.0,0.0,0.0
256,3.0500000000000003,0.0,0.0,0.0,0.0
256,3.1,0.0,0.0,0.0,0.0
256,3.1500000000000004,0.0,0.0,0.0,0.0
256,3.2,0.0,0.0,0.0,0.0
256,3.25,0.0,0.0,0.0,0.0
256,3.3000000000000003,0.0,0.0,0.0,0.0
256,3.35,0.0,0.0,0.0,0.0
256,3.4000000000000004,0.0,0.0,0.0,0.0
256,3.45,0.0,0.0,0.0,0.0
256,3.5,0.0,0.0,0.0,0.0
256,3.5500000000000003,0.0,0.0,0.0,0.0
256,3.6,0.0,0.0,0.0,0.0
256,3.6500000000000004,0.0,0.0,0.0,0.0
256,3.7,0.0,0.0,0.0,0.0
256,3.75,0.0,0.0,0.0,0.0
256,3.8000000000000003,0.0,0.0,0.0,0.0
256,3.85,0.0,0.0,0.0,0.0
256,3.9000000000000004,0.0,0.0,0.0,0.0
256,3.95,0.0,0.0,0.0,0.0
256,4.0,0.0,0.0,0.0,0.0
256,4.05,0.0,0.0,0.0,0.0
256,4.1000000000000005,0.0,0.0,0.0,0.0
256,4.15,0.0,0.0,0.0,0.0
256,4.2,0.0,0.0,0.0,0.0
256,4.25,0.0,0.0,0.0,0.0
256,4.3,0.0,0.0,0.0,0.0
256,4.3500000000000005,0.0,0.0,0.0,0.0
256,4.4,0.0,0.0,0.0,0.0
256,4.45,0.0,0.0,0.0,0.0
256,4.5,0.0,-2.7755575615628914e-13,0.0,0.0
256,4.55,-1.1102230246251565e-12,2.1149748619109232e-10,0.0,0.0
256,4.6000000000000005,-1.3424816813767393e-07,1.8144687974341878e-05,0.0,3.3306690738754696e-11
256,4.65,-1.5146608411953366e-05,0.0010111681450486465,5.676015213396113e-11,4.624078897563777e-09
256,4.7,-0.00020581669368802125,0.008439463985154827,1.4402368186949843e-09,7.46369632764754e-08
256,4.75,-0.0011261717747235167,0.03182847838817393,1.282141059988362e-08,4.7544634895757554e-07
256,4.800000000000001,-0.0037919065515312766,0.07923496342321368,6.492695270310378e-08,1.84998905083944e-06
256,4.8500000000000005,-0.009505345259230857,0.1538028510414402,2.3296586881826897e-07,5.353564813681544e-06
256,4.9,-0.01959247829086408,0.25345015392336245,6.646580508196109e-07,1.273975591686849e-05
256,4.95,-0.03516665474989633,0.3719866578782982,1.6103576805370778e-06,2.634453766248157e-05
256,5.0,-0.056959066673800685,0.5005562233059702,3.448037966258255e-06,4.888399074420846e-05
256,5.050000000000001,-0.08522052720560946,0.6290212120618754,6.692466580915379e-06,8.302441956153928e-05
256,5.1000000000000005,-0.11968996952493871,0.7472561345983619,1.1978139591306558e-05,0.00013078156169132882
256,5.15,-0.15962711797490314,0.8464386228163034,2.0011121093510553e-05,0.00019291201525106771
256,5.2,-0.20391161955402026,0.9204262585255085,3.149506100363908e-05,0.00026853095747014777
256,5.25,-0.2512129920262396,0.967187685407267,4.704868439286969e-05,0.00035518505026033154
256,5.300000000000001,-0.3002267625840105,0.9899079678932221,6.714098943483293e-05,0.0004494885069705745
256,5.3500000000000005,-0.3499366971726481,0.9966660436988573,9.20697840189888e-05,0.0005481647008531709
256,5.4,-0.3997888190110377,0.9969895586547928,0.00012199207310992222,0.000648958473070671
256,5.45,-0.44962218778699103,0.9963301408716374,0.00015698145949816222,0.00075071408145444
256,5.5,-0.4994213719866636,0.9956329388810525,0.00019706753451309567,0.000852712834231717
256,5.550000000000001,-0.5491849560057549,0.9949043614099207,0.00024224543426765166,0.0009542728540701262
256,5.6000000000000005,-0.5989111537108016,0.9941367925492273,0.0002924760422740036,0.0010547061564392113
256,5.65,-0.6485979854020663,0.993330562410466,0.0003476857673989642,0.0011533226119964102
256,5.7,-0.6982437263458596,0.992495623512446,0.0004077665638479999,0.0012494349763136903
256,5.75,-0.7478473812871922,0.9916509138185869,0.00047257620316987214,0.0013423640822518568
256,5.800000000000001,-0.7974090750983986,0.990821729039415,0.0005419388038330197,0.0014314437024598448
256,5.8500000000000005,-0.8469302761027198,0.9900357930253678,0.0006156455839567698,0.0015160246769410635
256,5.9,-0.8964138085898465,0.9893189106446876,0.0006934557988946821,0.0015954780686194825
256,5.95,-0.9458636566461731,0.9886911101181228,0.000775097808713987,0.00166919733937676
256,6.0,-0.9952846034422258,0.9881640215492205,0.0008602702372684234,0.0017365997255491816
