t,lambda1,lambda2,energy,integrated_work,work_defect,norm_defect,V1,V2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0125,0.00019275951793518153,0.0002891392769027723,0.00048189879405180995,0.0004818987940686999,-1.688997249352231e-14,-1.3766765505351941e-14,0.999999996235293,0.9999999943529465
0.025,0.000770963759277099,0.0011564456389156486,0.0019274093478934664,0.0019274093480717439,-1.7827753162613647e-13,-1.3711254354120683e-13,0.9999999397754573,0.9999999096632541
0.037500000000000006,0.0017343898152840653,0.002601584722926098,0.004335973965528408,0.004335973965769959,-2.415507030506525e-13,-1.9739765377835283e-13,0.9999996952030262,0.9999995428046375
0.05,0.003082666266872036,0.004623999400308054,0.0077066624515859695,0.0077066624521445245,-5.585549384123922e-13,-9.896528041508645e-13,0.999999037094997,0.9999985556429873
0.0625,0.004815273327803071,0.007222909991704607,0.012038171063206102,0.012038171060440403,2.765699128048915e-12,-1.5381029783156919e-12,0.9999976504184751,0.9999964756284766
0.07500000000000001,0.006931543045073707,0.01039731456761056,0.017328821052737906,0.017328821040590137,1.2147768901904499e-11,-1.3379297669757761e-12,0.9999951310977685,0.9999926966473215
0.08750000000000001,0.009430659556422749,0.014145989334634124,0.02357655681164663,0.023576556791568573,2.0078057272332472e-11,-1.2329026688462363e-12,0.9999909867512559,0.9999864801275107
0.1,0.01231165940486223,0.018467489107293344,0.030778943628449067,0.030778943615813716,1.2635351098744252e-11,-9.896528041508645e-13,0.9999846375794931,0.999976956369745
0.1125,0.015573431910108404,0.023360147865162606,0.03893316507454617,0.0389331650743663,1.7987000777708317e-13,5.995204332975845e-15,0.9999754173743316,0.9999631260614994
0.125,0.01921471959676957,0.028822079395154354,0.048036020037658736,0.0480360200378156,-1.568606355917268e-13,-8.37108160567368e-14,0.999962574716376,0.9999438620746244
0.1375,0.023234118679127613,0.03485117801869142,0.058083919426934416,0.058083919427322925,-3.885086696797657e-13,-1.6053824936079764e-13,0.9999452743744712,0.9999179115618504
0.15000000000000002,0.027630079602323443,0.041445119403485164,0.06907288256595591,0.06907288256797324,-2.0173307468951407e-12,-7.823741654533478e-13,0.9999225987698628,0.9998838981553648
0.1625,0.03240090763974024,0.04860136145961036,0.08099853330484261,0.08099853330513263,-2.900180096077065e-13,-1.0060841049153169e-12,0.9998935496348524,0.9998403244532538
0.17500000000000002,0.03754476354635272,0.05631714531952908,0.09385609587827752,0.09385609586996997,8.307549093089506e-12,-7.852607453173732e-13,0.999857049814898,0.9997855747239136
0.1875,0.043059664267791176,0.06458949640168676,0.10764039054120104,0.1076403905257446,1.5456441682104582e-11,-1.0299538999447577e-12,0.9998119452238458,0.9997179178389897
0.2,0.04894348370484647,0.0734152255572697,0.12234582901305688,0.1223458290056326,7.424283410273347e-12,-7.257527911974648e-13,0.9997570069339643,0.9996355104071214
0.21250000000000002,0.05519395353312195,0.08279093029968293,0.137966409759287,0.1379664097589602,3.2679414729841483e-13,6.217248937900877e-15,0.9996909333716476,0.9995364000694013
0.225,0.06180866407751584,0.09271299611627376,0.15449571316008287,0.1544957131597793,3.0356273050813343e-13,2.4646951146678475e-14,0.999612352701436,0.9994185290757076
0.23750000000000002,0.06878506524119643,0.10317759786179465,0.17192689659695276,0.17192689659753563,-5.828670879282072e-13,-1.2856382625159313e-13,0.9995198253315224,0.9992797380421877
0.25,0.07612046748871326,0.11418070123306989,0.19025268949039065,0.1902526894916058,-1.2151391004522338e-12,-1.5376588891058418e-13,0.9994118465190983,0.9991177698612044
0.2625,0.08381204288286404,0.12571806432429605,0.20946538833951397,0.2094653883377966,1.717376241217039e-12,-7.105427357601002e-15,0.9992868491213748,0.9989302738292247
0.275,0.09185682617491875,0.13778523926237812,0.2295568518022614,0.22955685179818908,4.07232580990069e-12,-2.1094237467877974e-13,0.9991432064643464,0.9987148099520914
0.28750000000000003,0.1002517159477786,0.1503775739216679,0.25051849585888236,0.25051849585836017,5.221933996324424e-13,1.9984014443252818e-14,0.998979235329067,0.9984688534261056
0.30000000000000004,0.1089934758116321,0.16349021371744815,0.2723412890993498,0.2723412890990019,3.478883847662928e-13,2.708944180085382e-14,0.998793199041412,0.9981897992776643
0.3125,0.11807873565164495,0.17711810347746743,0.29501574819049076,0.2950157481906181,-1.2734258092450546e-13,-4.296563105299356e-14,0.9985833106836974,0.9978749671846221
0.325,0.12750399292720282,0.19125598939080424,0.31853193355498377,0.3185319335560925,-1.1087242235419126e-12,-6.794564910705958e-14,0.9983477363989011,0.997521606439507
0.3375,0.13726561402220816,0.20589842103331224,0.34287944531619885,0.3428794453153558,8.430478537491126e-13,1.1945999744966684e-13,0.9980845987981142,0.9971269010692304
0.35000000000000003,0.14735983564590782,0.22103975346886173,0.3680474195515062,0.36804741954914666,2.359556994235845e-12,-1.84297022087776e-14,0.9977919804569071,0.9966879750913452
0.36250000000000004,0.15778276628371346,0.2366741494255702,0.3940245249023846,0.39402452490203105,3.535505221918811e-13,9.547918011776346e-15,0.997467927508829,0.9962018979175425
0.375,0.16853038769745476,0.25279558154618215,0.4207989595834293,0.42079895958315233,2.769451334927453e-13,3.4638958368304884e-14,0.9971104533192201,0.9956656898831648
0.3875,0.17959855647448641,0.2693978347117296,0.44835844883824916,0.4483584488395607,-1.3115619701409287e-12,-1.8707257964933888e-13,0.9967175422335959,0.9950763278924962
0.4,0.19098300562505255,0.2864745084375788,0.4766902428879224,0.4766902428901393,-2.2168933355715126e-12,-8.415490526658687e-14,0.9962871534119301,0.994430751197574
0.41250000000000003,0.2026793462272929,0.30401901934093933,0.5057811154112719,0.5057811154089595,2.312372515689276e-12,3.597122599785507e-13,0.9958172247224925,0.9937258672744155
0.42500000000000004,0.21468306911925517,0.32202460367888275,0.5356173626012334,0.5356173625986589,2.5744961718032755e-12,8.37108160567368e-14,0.9953056766955519,0.9929585577966652
0.4375,0.226989546637263,0.3404843199558945,0.5661848028500366,0.5661848028498713,1.653122083666858e-13,-1.0769163338864018e-14,0.9947504165610489,0.9921256847411375
0.45,0.23959403439996907,0.3593910515999536,0.5974687770852368,0.597468777085261,-2.4202861936828413e-14,-3.0309088572266774e-14,0.9941493423172474,0.9912240965542887
0.4625,0.25249167313740317,0.37873750970610476,0.6294541498073478,0.6294541498093532,-2.0053958493804203e-12,-2.9110047705671604e-13,0.9935003468526151,0.9902506344086749
0.47500000000000003,0.26567749056431444,0.39851623584647167,0.662125310871784,0.6621253108717609,2.3092638912203256e-14,1.787459069646502e-13,0.992801322128625,0.9892021385632225
0.48750000000000004,0.2791464032970813,0.41871960494562194,0.6954661780307904,0.6954661780276554,3.1349367546340545e-12,3.9679370900103095e-13,0.9920501633785574,0.9880754547666527
